"","logFC","logCPM","F","PValue","FDR","gene.ID","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA07000876",6.74835824969985,1.32320518114582,27.8423876471729,4.85826541568993e-05,0.000156980830762416,"BraA07000876","BraA07000876","AT3G23800","SBP3","selenium-binding protein 3","-","-"
"BraA08001402",4.42725489312562,2.48424274046436,27.6145170146506,5.09048970505645e-05,0.000163111272650719,"BraA08001402","BraA08001402","AT4G18830","OFP5","ovate family protein 5","-","YES"
"BraA03002955",-10.6530099520639,3.36106831901449,29.3432254962967,5.35106916993058e-05,0.000170350848589981,"BraA03002955","BraA03002955","AT4G12520","AT4G12520","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","-","-"
"BraA01003905",-3.10596598496469,4.92525128155539,27.3573689302113,5.36747867136347e-05,0.000170804134221588,"BraA01003905","BraA01003905","AT3G16240","DELTA-TIP","delta tonoplast integral protein","-","YES"
"BraA09006471",-4.37711991760175,2.4759076622706,27.3111902962316,5.41897294659618e-05,0.000172268602601288,"BraA09006471","BraA09006471","AT1G11850","AT1G11850","transmembrane protein","-","-"
"BraA02002034",4.2251344272296,1.98187218841959,27.2370384178501,5.50281281941746e-05,0.000174631827062081,"BraA02002034","BraA02002034","AT1G68760","NUDX1","nudix hydrolase 1","-","-"
"BraA09005783",-3.28341724527257,5.99157084660319,27.1825300725154,5.56536189679897e-05,0.000176281269742409,"BraA09005783","BraA09005783","AT5G43745","AT5G43745","ion channel POLLUX-like protein, putative (DUF1012)","-","-"
"BraA02002047",-4.21116869823928,2.64532204102952,27.1540621229728,5.59834299641946e-05,0.000177163813921552,"BraA02002047","BraA02002047","AT1G68870","SOFL2","SOB five-like 2","-","-"
"BraA09001074",-3.05069729751085,5.1027209698114,27.146913717642,5.6066587437525e-05,0.000177339461289828,"BraA09001074","BraA09001074","AT3G32980","AT3G32980","Peroxidase superfamily protein","-","-"
"BraA10000314",-6.68147849343056,2.55001215443565,27.1292631882842,5.62725046766586e-05,0.000177847787425567,"BraA10000314","BraA10000314","AT1G04570","AT1G04570","Major facilitator superfamily protein","-","-"
"BraA08003668",-3.75199511600914,2.31778377970459,27.1255638194097,5.63157692417862e-05,0.000177947164206675,"BraA08003668","BraA08003668","AT1G10020","AT1G10020","formin-like protein (DUF1005)","-","-"
"BraA01004131",-4.22624451002566,3.61540748770784,27.1006235972081,5.66084144992527e-05,0.000178694084365143,"BraA01004131","BraA01004131","AT3G13520","AGP12","arabinogalactan protein 12","-","-"
"BraA05004121",-3.38222968044029,4.14480443459892,27.0340823006558,5.73975035703963e-05,0.000180822245482233,"BraA05004121","BraA05004121","AT3G09450","AT3G09450","fusaric acid resistance family protein","-","-"
"BraA06002079",4.83863510761723,2.73957787586294,26.9930678282414,5.78899638438051e-05,0.000182109000292208,"BraA06002079","BraA06002079","AT1G19200","AT1G19200","cyclin-dependent kinase, putative (DUF581)","-","-"
"BraA07003361",-4.06961361365268,2.50050331795508,26.9344113624867,5.86024297279397e-05,0.000184065435967836,"BraA07003361","BraA07003361","AT1G70230","TBL27","TRICHOME BIREFRINGENCE-LIKE 27","-","-"
"BraA01001141",-3.13257724034587,7.09309772916966,26.8504900962838,5.96387741646087e-05,0.000186761343334186,"BraA01001141","BraA01001141","AT4G19200","AT4G19200","proline-rich family protein","-","-"
"BraA03004932",3.22613756412239,7.37641471932824,26.8459468615352,5.96954568873661e-05,0.000186790158993755,"BraA03004932","BraA03004932","AT4G15530","PPDK","pyruvate orthophosphate dikinase","-","-"
"BraA01002292",3.18006702149692,3.00756868584772,26.8432861675402,5.97286802750328e-05,0.000186856960796803,"BraA01002292","BraA01002292","AT4G15550","IAGLU","indole-3-acetate beta-D-glucosyltransferase","-","-"
"BraA06002248",3.6320485629305,5.6121237768164,26.7932038581333,6.0357893865212e-05,0.000188600440401703,"BraA06002248","BraA06002248","AT1G20840","TMT1","tonoplast monosaccharide transporter1","-","-"
"BraA09005927",5.83942422729042,6.63406436656241,26.7492059678918,6.09167467872017e-05,0.000190120176010195,"BraA09005927","BraA09005927","AT2G20670","AT2G20670","sugar phosphate exchanger, putative (DUF506)","-","-"
"BraA08000969",5.02096059180129,1.93200691822521,29.806246389554,6.14662048532172e-05,0.000191607012593151,"BraA08000969","BraA08000969","AT5G41080","GDPD2","PLC-like phosphodiesterases superfamily protein","-","-"
"BraA10002631",3.29457072600375,3.95656462085102,26.6628331244805,6.20306393839571e-05,0.00019306055010798,"BraA10002631","BraA10002631","AT5G05850","PIRL1","plant intracellular ras group-related LRR 1","-","-"
"BraA07000988",5.86749221925006,3.26497258509695,26.5409753687824,6.36408439334498e-05,0.000197533641198015,"BraA07000988","BraA07000988","AT1G30720","AT1G30720","FAD-binding Berberine family protein","-","-"
"BraA04000235",5.61864795700263,2.75881907708464,26.5342500892331,6.37310533680741e-05,0.000197766092644452,"BraA04000235","BraA04000235","AT3G59700","HLECRK","lectin-receptor kinase","-","-"
"BraA04000208",10.1150500234235,5.34698603396438,28.3532034583422,6.43179984436951e-05,0.000199225551934681,"BraA04000208","BraA04000208","AT3G60140","DIN2","Glycosyl hydrolase superfamily protein","-","-"
"BraA10002168",-4.72131329897283,3.17379029321346,26.4549899529706,6.48049818867205e-05,0.000200475841426028,"BraA10002168","BraA10002168","AT5G15350","ENODL17","early nodulin-like protein 17","-","-"
"BraA01004753",-3.89060823899435,2.67412035261492,26.3658876236779,6.60363419942361e-05,0.000203634700690045,"BraA01004753","BraA01004753","AT3G02230","RGP1","reversibly glycosylated polypeptide 1","-","-"
"BraA05000671",-4.55900768130432,7.33017481553479,26.2937619501956,6.7052144353653e-05,0.000206483863708236,"BraA05000671","BraA05000671","AT2G45470","FLA8","FASCICLIN-like arabinogalactan protein 8","-","-"
"BraA09002946",-3.1429381146775,6.16571492720951,26.2689813678829,6.74051468431147e-05,0.000207368013826638,"BraA09002946","BraA09002946","AT4G09350","NdhT","Chaperone DnaJ-domain superfamily protein","-","-"
"BraA02002521",-3.07219599519658,2.84974892319115,26.2089094317538,6.82694814439977e-05,0.000209617280000536,"BraA02002521","BraA02002521","AT1G76160","sks5","SKU5 similar 5","-","-"
"BraA03003284",-3.79897828091597,4.1283164799344,26.1613666482964,6.89622765121041e-05,0.000211290962459982,"BraA03003284","BraA03003284","AT3G02250","AT3G02250","O-fucosyltransferase family protein","-","-"
"BraA06000867",-4.91881540439389,2.15765186915196,29.1021381878909,6.95661341346645e-05,0.000212892393376717,"BraA06000867","BraA06000867","AT2G33070","NSP2","nitrile specifier protein 2","-","-"
"BraA03001349",3.29293422885105,3.79204333228038,26.0981960894756,6.98949170333792e-05,0.000213732299735184,"BraA03001349","BraA03001349","AT5G56550","OXS3","oxidative stress 3","-","-"
"BraA10000139",-3.86944816972732,2.74666840089961,26.0752341535726,7.02373900120626e-05,0.000214696109019001,"BraA10000139","BraA10000139",NA,NA,NA,NA,NA
"BraA03003599",4.06353363816267,8.78370947604958,26.0370436348314,7.08111321795351e-05,0.000216236482593972,"BraA03003599","BraA03003599","AT3G10020","AT3G10020","plant/protein","-","-"
"BraA07002502",-4.5493406136676,3.18512110167322,26.028112329853,7.09460587690148e-05,0.000216525830253921,"BraA07002502","BraA07002502","AT1G78320","GSTU23","glutathione S-transferase TAU 23","-","-"
"BraA01000432",-3.35498557982088,2.98105887084051,25.9424027909927,7.22555131047972e-05,0.000219670161170226,"BraA01000432","BraA01000432","AT4G34200","EDA9","D-3-phosphoglycerate dehydrogenase","-","-"
"BraA10000979",-5.10503071857702,2.42210866893595,25.9394156083587,7.23016325734374e-05,0.000219691862822087,"BraA10000979","BraA10000979","AT5G54160","OMT1","O-methyltransferase 1","-","YES"
"BraA09005229",-4.04618572704977,7.56586400115725,25.9331930883203,7.23978078858158e-05,0.000219763098937345,"BraA09005229","BraA09005229","AT3G59400","GUN4","protein GENOMES UNCOUPLED 4","-","YES"
"BraSca001142",4.34008947704709,2.43405536984693,25.8830586708938,7.31778936051821e-05,0.000221831503327133,"BraSca001142","BraSca001142","AT3G51840","ACX4","acyl-CoA oxidase 4","-","-"
"BraA04002290",-3.08054686165756,3.04045466432174,25.8655351984095,7.34527562271348e-05,0.000222322095016386,"BraA04002290","BraA04002290","AT2G31230","ERF15","ethylene-responsive element binding factor 15","YES","-"
"BraA02003841",4.74818624589743,1.68974875684412,25.8104000423462,7.43250847414326e-05,0.000224703080401764,"BraA02003841","BraA02003841",NA,NA,NA,NA,NA
"BraA04001532",-3.82405391692422,9.21794203127885,25.7639230118528,7.50693755615773e-05,0.000226561506297848,"BraA04001532","BraA04001532","AT2G21330","FBA1","fructose-bisphosphate aldolase 1","-","YES"
"BraA08003818",-3.29361657716437,7.99087156061112,25.7127002900245,7.58992741797068e-05,0.00022884670980875,"BraA08003818","BraA08003818","AT1G07180","NDA1","alternative NAD(P)H dehydrogenase 1","-","-"
"BraA08003254",-4.62950467301798,4.2729927477462,28.5858700990416,7.62753181363532e-05,0.000229760414661879,"BraA08003254","BraA08003254","AT1G19050","ARR7","response regulator 7","-","YES"
"BraA06002411",-3.1428512708621,4.36858275260538,25.6587517710776,7.67843759871504e-05,0.000231205308177152,"BraA06002411","BraA06002411","AT3G49260","iqd21","IQ-domain 21","-","-"
"BraA03006559",-3.38658608909544,3.0549361511174,25.6023633475028,7.77217871078958e-05,0.000233491224979804,"BraA03006559","BraA03006559","AT4G39780","AT4G39780","Integrase-type DNA-binding superfamily protein","YES","-"
"BraA06002332",5.62447212433308,2.0302514767271,25.5571308216897,7.84829370830359e-05,0.00023546377463082,"BraA06002332","BraA06002332","AT1G21550","AT1G21550","Calcium-binding EF-hand family protein","-","-"
"BraA05001833",-3.77811270252871,4.33885305950372,25.5454998372019,7.86799938346033e-05,0.000235974118520333,"BraA05001833","BraA05001833","AT1G52410","TSA1","TSK-associating protein 1","-","-"
"BraA10000544",-4.04293512910221,3.50188868719988,25.4504059010992,8.03118971308939e-05,0.000240492485870932,"BraA10000544","BraA10000544","AT1G06830","AT1G06830","Glutaredoxin family protein","-","-"
"BraA05000760",5.17232247828233,6.98185915412967,25.413958605828,8.09473107360852e-05,0.000242072763539156,"BraA05000760","BraA05000760","AT2G40000","HSPRO2","ortholog of sugar beet HS1 PRO-1 2","-","-"
"BraA03005486",-3.2389510463485,5.93053816568567,25.3928962488914,8.13170529970724e-05,0.00024276326047466,"BraA03005486","BraA03005486","AT4G23820","AT4G23820","Pectin lyase-like superfamily protein","-","-"
"BraA07001048",-5.18045551308677,6.63143529125511,25.29760379378,8.30135012108677e-05,0.000246984393090228,"BraA07001048","BraA07001048","AT1G29660","AT1G29660","GDSL-like Lipase/Acylhydrolase superfamily protein","-","-"
"BraA08002887",-3.50371216401084,3.60711766606656,25.1254600596649,8.61787252283886e-05,0.000255099401842348,"BraA08002887","BraA08002887","AT1G27400","AT1G27400","Ribosomal protein L22p/L17e family protein","-","-"
"BraA07000881",-3.30099179230386,3.00849387177232,25.1102103035063,8.64655284569685e-05,0.000255900236185604,"BraA07000881","BraA07000881","AT3G23750","AT3G23750","Leucine-rich repeat protein kinase family protein","-","-"
"BraA07001513",5.77267171360646,1.72867294990232,27.8691685922443,8.6838943669591e-05,0.000256715689946399,"BraA07001513","BraA07001513","AT3G43660","AT3G43660","Vacuolar iron transporter (VIT) family protein","-","-"
"BraA02002435",-3.81732828105544,6.71209256887372,25.0402125302109,8.77956629580022e-05,0.000259183337854418,"BraA02002435","BraA02002435","AT1G74670","GASA6","Gibberellin-regulated family protein","-","YES"
"BraA03002350",-4.71737628190868,4.44429983680279,24.9353709091993,8.98306652289121e-05,0.000264367934924661,"BraA03002350","BraA03002350","AT2G42530","COR15B","cold regulated 15b","-","YES"
"BraA07003584",-3.16645875192705,3.64507615122807,24.9178376721232,9.01760797956391e-05,0.000265235661993304,"BraA07003584","BraA07003584","AT1G73010","PS2","inorganic pyrophosphatase 1","-","-"
"BraA10002318",4.19180309291191,5.17350891870349,24.8982730669648,9.05632571597118e-05,0.000266225184880483,"BraA10002318","BraA10002318","AT5G13210","AT5G13210","Uncharacterized conserved protein UCP015417, vWA","-","-"
"BraA03000209",4.10656325558342,3.15581926469163,24.8511364620104,9.15036862662618e-05,0.00026857988087856,"BraA03000209","BraA03000209","AT5G05110","AT5G05110","Cystatin/monellin family protein","-","-"
"BraA03005248",4.78686632804386,2.34253614842911,24.8368116772349,9.17916287292128e-05,0.00026928282432567,"BraA03005248","BraA03005248","AT4G20200","AT4G20200","Terpenoid cyclases/Protein prenyltransferases superfamily protein","-","-"
"BraA02001022",4.6488729442126,4.32426001518547,24.8061884053863,9.24105708668351e-05,0.000270594109259493,"BraA02001022","BraA02001022","AT5G21170","AKINBETA1","5'-AMP-activated protein kinase beta-2 subunit protein","-","-"
"BraA07003918",-3.44052607563136,3.04621586796063,24.7935135933465,9.26681038922449e-05,0.000271196816598171,"BraA07003918","BraA07003918","AT1G76955","AT1G76955","Expressed protein","-","-"
"BraA09001656",4.07651207801946,6.62129859615378,24.7814225340776,9.29145195727217e-05,0.000271816858151394,"BraA09001656","BraA09001656","AT1G62760","AT1G62760","Plant invertase/pectin methylesterase inhibitor superfamily protein","-","-"
"BraA05002504",-5.18003140949707,5.08635550983067,24.7296662345195,9.39775752544396e-05,0.000274295659116382,"BraA05002504","BraA05002504","AT3G22740","HMT3","homocysteine S-methyltransferase 3","-","-"
"BraA07003035",-3.23925402782918,2.28830770259745,24.7242852822926,9.40888716245557e-05,0.000274486926934373,"BraA07003035","BraA07003035","AT5G38890","AT5G38890","Nucleic acid-binding, OB-fold-like protein","-","-"
"BraA03006553",-6.95038127729293,4.52348615839759,24.6944229169631,9.47091954917831e-05,0.000276091867406206,"BraA03006553","BraA03006553","AT4G39940","AKN2","APS-kinase 2","-","-"
"BraA01001584",3.27109543253649,2.39556632106243,24.6895422853114,9.4811011228827e-05,0.000276286309758671,"BraA01001584","BraA01001584","AT4G24230","ACBP3","acyl-CoA-binding domain 3","-","-"
"BraA02004287",-3.33161291318363,3.19955779525987,24.6681682396081,9.52583343634817e-05,0.00027738437260247,"BraA02004287","BraA02004287","AT5G61420","MYB28","myb domain protein 28","YES","-"
"BraA03002951",-5.30020075496512,3.04113920992786,24.4895844893322,9.90888332331295e-05,0.000287474535353342,"BraA03002951","BraA03002951","AT4G12420","SKU5","Cupredoxin superfamily protein","-","-"
"BraA09003960",-3.24801951565703,4.72055789049816,24.4690107139587,9.95410163545074e-05,0.000288573587574526,"BraA09003960","BraA09003960","AT1G27400","AT1G27400","Ribosomal protein L22p/L17e family protein","-","-"
"BraA08002336",-8.72182826359958,2.685137665501,29.8838649286924,9.97660319441902e-05,0.000289119388337712,"BraA08002336","BraA08002336","AT1G75250","RL6","RAD-like 6","YES","-"
"BraA03006313",-3.17200627057816,3.55785303615624,24.4510673498498,9.9937259673881e-05,0.000289470088180013,"BraA03006313","BraA03006313","AT4G34730","AT4G34730","ribosome-binding factor A family protein","-","-"
"BraA05003641",3.09856922767212,1.93332026322614,24.4486656097716,9.99904302149946e-05,0.000289503111290369,"BraA05003641","BraA05003641","AT4G36840","AT4G36840","Galactose oxidase/kelch repeat superfamily protein","-","-"
"BraA09005457",3.77469995629699,1.70616497913771,27.0975733381457,0.000100106188692311,0.000289678371692205,"BraA09005457","BraA09005457","AT3G62090","PIL2","phytochrome interacting factor 3-like 2","YES","YES"
"BraA09004118",-3.32807304599681,5.21091682479615,24.4227694052703,0.000100565730879001,0.000290794255992643,"BraA09004118","BraA09004118","AT1G69530","EXPA1","expansin A1","-","YES"
"BraA08000917",3.19955035912413,2.38808054127283,24.4116576499213,0.000100813712853481,0.000291457759592572,"BraA08000917","BraA08000917","AT5G33290","XGD1","xylogalacturonan deficient 1","-","-"
"BraA06004037",4.09472605079294,7.67508669349366,24.3960127047571,0.00010116401537658,0.000292309391473716,"BraA06004037","BraA06004037","AT5G48180","NSP5","nitrile specifier protein 5","-","-"
"BraA03000960",-4.17856450867543,5.17767832267368,24.3650335202625,0.000101861662573528,0.000294055241654199,"BraA03000960","BraA03000960","AT5G19190","AT5G19190","hypothetical protein","-","-"
"BraA02003639",-3.06633018566022,2.3969607078472,24.3222902511166,0.000102833030986881,0.000296587348902046,"BraA02003639","BraA02003639","AT3G26410","TRM11","tRNA modification 11 protein","-","-"
"BraA09004575",3.37490466505792,3.95983835524721,24.3073923883145,0.000103174010769812,0.000297407260207688,"BraA09004575","BraA09004575","AT3G51540","AT3G51540","mucin-5AC-like protein","-","-"
"BraA10001385",3.02940822485662,3.92966299770351,24.2360076585728,0.000104825386945486,0.000301504713758759,"BraA10001385","BraA10001385","AT5G58540","AT5G58540","Protein kinase superfamily protein","-","-"
"BraA06002500",8.09392361885558,3.00587776469489,24.2238555344617,0.00010510942359167,0.000302045633608203,"BraA06002500","BraA06002500","AT3G48340","CEP2","Cysteine proteinases superfamily protein","-","-"
"BraA07002440",7.37017032192017,3.54113544886371,24.1938894331309,0.000105813496548162,0.000303766599867819,"BraA07002440","BraA07002440","AT1G80920","J8","Chaperone DnaJ-domain superfamily protein","-","-"
"BraA06001385",-3.59652036849916,3.21508458984685,24.1934385872939,0.00010582412941506,0.000303766599867819,"BraA06001385","BraA06001385","AT1G10370","ERD9","Glutathione S-transferase family protein","-","YES"
"BraA08000367",-5.53546225950859,2.27972986099882,24.1532207834305,0.000106777432507304,0.000306167944230128,"BraA08000367","BraA08000367","AT1G49380","AT1G49380","cytochrome c biogenesis protein family","-","YES"
"BraA07001227",-3.61735401536952,4.41721264422189,24.1447586430332,0.000106979228198872,0.000306578971942716,"BraA07001227","BraA07001227","AT1G25230","AT1G25230","Calcineurin-like metallo-phosphoesterase superfamily protein","-","-"
"BraA06001961",-3.91897062817246,3.39340783385635,24.1262730397253,0.000107421528428077,0.000307454560084434,"BraA06001961","BraA06001961","AT1G17850","AT1G17850","Rhodanese/Cell cycle control phosphatase superfamily protein","-","-"
"BraA01000487",3.52395654511001,3.11543984888599,24.1079916408991,0.000107860942738186,0.000308656082001836,"BraA01000487","BraA01000487","AT5G42560","AT5G42560","Abscisic acid-responsive (TB2/DP1, HVA22) family protein","-","-"
"BraA10001930",5.08651801058481,1.73155584824503,24.052626581035,0.000109203940245074,0.000312045252169328,"BraA10001930","BraA10001930","AT5G18290","SIP1;2","Aquaporin-like superfamily protein","-","-"
"BraA03001468",-6.35932170142078,2.1452647505384,23.8570518390482,0.000114098966400991,0.000324559171237527,"BraA03001468","BraA03001468","AT5G54380","THE1","protein kinase family protein","-","YES"
"BraA07001579",-4.97491640336722,5.61545878954967,23.8415272071918,0.000114497859261403,0.000325634974396789,"BraA07001579","BraA07001579","AT1G20190","EXPA11","expansin 11","-","YES"
"BraA07001534",5.97980128628642,5.25554783954946,23.8163555373373,0.000115147923623634,0.00032724719634125,"BraA07001534","BraA07001534","AT1G20900","ESC","Putative AT-hook DNA-binding family protein","-","YES"
"BraA05002704",-3.28732646210086,2.63780743453094,23.7228431447597,0.000117599085462398,0.000333430488078611,"BraA05002704","BraA05002704","AT3G20790","AT3G20790","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA02003601",4.55118589797514,2.08911461886,23.701991090306,0.000118153537669009,0.000334731261785971,"BraA02003601","BraA02003601","AT3G25890","CRF11","Integrase-type DNA-binding superfamily protein","YES","-"
"BraA10002265",-9.27821591020765,3.44257640286438,25.1875138985911,0.000119346336066174,0.000337411775842133,"BraA10002265","BraA10002265","AT5G13930","TT4","Chalcone and stilbene synthase family protein","-","YES"
"BraA03000778",-4.07402748628618,2.67827969268729,23.5051432186043,0.000123533320865001,0.000347874076079395,"BraA03000778","BraA03000778","AT5G16250","AT5G16250","transmembrane protein","-","YES"
"BraA02000954",3.4505600985631,6.90403433207603,23.4558125400771,0.000124923812609888,0.000351098609614073,"BraA02000954","BraA02000954","AT5G20250","DIN10","Raffinose synthase family protein","-","-"
"BraA07002919",-4.391104551163,4.50071176208158,23.4136192570787,0.000126126935153474,0.0003541005265968,"BraA07002919","BraA07002919","AT1G68560","XYL1","alpha-xylosidase 1","-","-"
"BraA09004107",4.13836920931489,1.74082544488164,23.4107234168773,0.000126209979904696,0.000354207685118129,"BraA09004107","BraA09004107","AT1G26680","AT1G26680","transcriptional factor B3 family protein","YES","-"
"BraA08003066",-3.01447568415755,6.59604180139769,23.4106139948983,0.000126213119018425,0.000354207685118129,"BraA08003066","BraA08003066","AT1G70830","MLP28","MLP-like protein 28","-","-"
"BraA06001861",6.06310945505443,1.9538983126881,23.3740436725514,0.000127267132393257,0.000356728819975113,"BraA06001861","BraA06001861","AT1G16850","AT1G16850","transmembrane protein","-","-"
"BraA03002642",-3.21937350484142,7.99127782217023,23.3463508409749,0.000128071794025635,0.000358728684725416,"BraA03002642","BraA03002642","AT2G27710","AT2G27710","60S acidic ribosomal protein family","-","-"
"BraA08000076",-5.04720912503836,2.77970159517736,23.3004276138549,0.000129418666866495,0.000361792883604755,"BraA08000076","BraA08000076","AT3G13520","AGP12","arabinogalactan protein 12","-","-"
"BraA03002292",-3.42645730666998,4.36530778081184,23.2809617994023,0.000129994321615478,0.000363208566218247,"BraA03002292","BraA03002292","AT2G27030","CAM5","calmodulin 5","-","-"
"BraA03003716",-3.18391622478075,3.68811245540385,23.1744848512005,0.000133193929205525,0.000371357135006758,"BraA03003716","BraA03003716","AT3G11110","AT3G11110","RING/U-box superfamily protein","-","-"
"BraA05001808",3.49504962496928,4.02334438020783,23.172902299487,0.000133242140175089,0.000371425742744942,"BraA05001808","BraA05001808","AT1G52720","AT1G52720","hypothetical protein","-","-"
"BraA01004016",3.43898616561998,3.23791200585793,23.1065779251309,0.0001352802017337,0.000376307098193655,"BraA01004016","BraA01004016","AT3G14850","TBL41","TRICHOME BIREFRINGENCE-LIKE 41","-","-"
"BraA03002048",-3.39846678747844,5.78646011906754,23.0995792979578,0.000135497274182059,0.00037684431009701,"BraA03002048","BraA03002048","AT5G28540","BIP1","heat shock protein 70 (Hsp 70) family protein","-","YES"
"BraA10000330",-3.15616596279866,6.49415440599079,23.0518795415215,0.000136987105612428,0.000380785920140818,"BraA10000330","BraA10000330","AT1G04770","AT1G04770","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA03000256",-3.9607820110766,2.53821516237573,23.0024706168299,0.000138549549735772,0.00038444995849799,"BraA03000256","BraA03000256","AT5G06270","AT5G06270","hypothetical protein","-","-"
"BraA05000792",3.85210808001516,2.42339128640712,22.9321252087636,0.000140808358357764,0.000389276234560397,"BraA05000792","BraA05000792","AT2G39710","AT2G39710","Eukaryotic aspartyl protease family protein","-","-"
"BraA03004337",9.07627324150649,2.38680809239769,26.3394124330997,0.000142662119147865,0.000393985803248651,"BraA03004337","BraA03004337","AT3G23530","AT3G23530","Cyclopropane-fatty-acyl-phospholipid synthase","-","-"
"BraA04000887",-4.56213916856484,9.85484163776027,22.8467980251668,0.000143603364946949,0.000396307006454786,"BraA04000887","BraA04000887","AT4G13770","CYP83A1","cytochrome P450, family 83, subfamily A, polypeptide 1","-","-"
"BraA07001252",-3.44997188503232,5.21666797908493,22.8010445878371,0.000145127446996057,0.000400021983872824,"BraA07001252","BraA07001252","AT1G25550","AT1G25550","myb-like transcription factor family protein","YES","-"
"BraA09002998",-6.05347055113655,3.08097705630556,25.0800711614149,0.000147107485810108,0.000405124850666408,"BraA09002998","BraA09002998","AT4G12030","BAT5","bile acid transporter 5","-","-"
"BraA03001372",3.75723397498729,2.78197240762226,22.7374254754566,0.000147276623142804,0.000405519674851297,"BraA03001372","BraA03001372","AT5G55970","AT5G55970","RING/U-box superfamily protein","-","-"
"BraA06002953",4.27829710910717,3.6044276380285,22.7078839938127,0.000148286603182646,0.000407943704140232,"BraA06002953","BraA06002953","AT5G62020","HSFB2A","heat shock transcription factor B2A","YES","-"
"BraA03005872",3.08705604745488,2.86935625647147,22.6648462219402,0.000149771811558057,0.00041123874135013,"BraA03005872","BraA03005872","AT4G29230","NAC075","NAC domain containing protein 75","YES","-"
"BraA02000611",-3.76973413588855,8.0746573007758,22.6426138542631,0.0001505455107985,0.000412715010091498,"BraA02000611","BraA02000611","AT5G14740","CA2","carbonic anhydrase 2","-","YES"
"BraA07004125",3.4194271267715,5.75719096589328,22.6194299988051,0.000151357058761566,0.000414795311158481,"BraA07004125","BraA07004125","AT1G79700","WRI4","Integrase-type DNA-binding superfamily protein","YES","-"
"BraA03002724",4.12631164493582,2.86712998488301,22.616902329775,0.000151445833176621,0.000414966329595562,"BraA03002724","BraA03002724","AT2G24210","TPS10","terpene synthase 10","-","-"
"BraA01001360",-5.02198672968447,3.04319987940704,22.6069132999631,0.000151797225383473,0.000415856744191213,"BraA01001360","BraA01001360","AT4G22010","sks4","SKU5 similar 4","-","-"
"BraA02000717",-4.24220208358185,3.18175693589692,22.5801653938695,0.000152742630135063,0.000417930220377479,"BraA02000717","BraA02000717","AT5G16590","AT5G16590","Leucine-rich repeat protein kinase family protein","-","-"
"BraA02002493",-3.37522256779906,4.55777616056165,22.4197810522466,0.000158550590535336,0.000431428686263885,"BraA02002493","BraA02002493","AT1G75680","GH9B7","glycosyl hydrolase 9B7","-","-"
"BraA08001302",3.7044740547894,2.30067399141985,22.3944924035604,0.000159488579618129,0.000433531229723765,"BraA08001302","BraA08001302","AT4G17070","AT4G17070","peptidyl-prolyl cis-trans isomerase","-","-"
"BraA03001161",3.39788478505534,1.77662200603902,22.3694618325325,0.00016042307616899,0.000435619935564318,"BraA03001161","BraA03001161","AT5G59960","AT5G59960","K-stimulated pyrophosphate-energized sodium pump protein","-","-"
"BraA02001801",-3.14787942961952,2.7237265945622,22.2779353898149,0.000163892342003939,0.000443967962433119,"BraA02001801","BraA02001801","AT1G65090","AT1G65090","nucleolin","-","-"
"BraA05001182",-3.47858386310362,6.0354725374125,22.2746161310328,0.000164019715019585,0.000444160081835861,"BraA05001182","BraA05001182","AT2G34430","LHB1B1","light-harvesting chlorophyll-protein complex II subunit B1","-","YES"
"BraA05000861",-3.3355321350317,6.94214722185056,22.2331488664466,0.000165620288982955,0.000447885977032459,"BraA05000861","BraA05000861","AT2G38540","LP1","lipid transfer protein 1","-","-"
"BraA08003616",6.46226640477904,2.131256099565,49.3135279113614,0.000170841390749342,0.000460099285440981,"BraA08003616","BraA08003616","AT1G11080","scpl31","serine carboxypeptidase-like 31","-","-"
"BraA01004734",-3.72221333580679,3.97087950046029,22.0639074235507,0.000172335272392529,0.000463538460284924,"BraA01004734","BraA01004734","AT3G02510","AT3G02510","Regulator of chromosome condensation (RCC1) family protein","-","-"
"BraA08000196",-3.43318497758949,2.48900162276774,22.0517481920756,0.000172829246333855,0.000464498893306497,"BraA08000196","BraA08000196","AT1G52700","AT1G52700","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA09001289",3.90874895851071,5.72175132212624,22.0024437143169,0.000174848460677496,0.000469357122234199,"BraA09001289","BraA09001289","AT2G19800","MIOX2","myo-inositol oxygenase 2","-","-"
"BraA04002869",-3.3462371925337,3.43967229482423,21.94919642708,0.000177058662300184,0.000474488268044227,"BraA04002869","BraA04002869","AT2G39980","AT2G39980","HXXXD-type acyl-transferase family protein","-","-"
"BraA03002726",3.53871084850022,1.94671177190376,21.9071190428456,0.000178827203642423,0.000478243775796317,"BraA03002726","BraA03002726","AT2G24150","HHP3","heptahelical protein 3","-","-"
"BraA03003316",-3.1612246689071,3.01898530655407,21.8742116915011,0.000180224014078618,0.000481168151601822,"BraA03003316","BraA03003316","AT3G02830","ZFN1","zinc finger protein 1","YES","-"
"BraA06004018",4.75741461650764,1.64374325495925,21.8706165763555,0.000180377348774438,0.000481462361685971,"BraA06004018","BraA06004018",NA,NA,NA,NA,NA
